  Key      ProductID      Bid Price       Quantity    Offer Price       Quantity
    1      912828M72            98-       10000000           99-0       10000000
    2      912828M72            98-       10000000           99-0       10000000
    3      912828M72           99-0       10000000           99-0       10000000
    4      912828M72           99-0       10000000           99-0       10000000
    5      912828M72           99-0       10000000           99-0       10000000
    6      912828M72           99-0       10000000           99-0       10000000
    7      912828M72           99-0       10000000           99-0       10000000
    8      912828M72           99-0       10000000           99-0       10000000
    9      912828M72           99-0       10000000           99-0       10000000
   10      912828M72           99-0       10000000           99-0       10000000
   11      912828M72           99-0       10000000           99-0       10000000
   12      912828M72           99-0       10000000           99-0       10000000
   13      912828M72           99-0       10000000           99-0       10000000
   14      912828M72           99-0       10000000           99-0       10000000
   15      912828M72           99-0       10000000           99-0       10000000
   16      912828M72           99-0       10000000           99-0       10000000
   17      912828M72           99-0       10000000           99-0       10000000
   18      912828M72           99-0       10000000           99-0       10000000
   19      912828M72           99-0       10000000           99-0       10000000
   20      912828M72           99-0       10000000           99-0       10000000
   21      912828M72           99-0       10000000           99-0       10000000
   22      912828M72           99-0       10000000           99-0       10000000
   23      912828M72           99-0       10000000           99-0       10000000
   24      912828M72           99-0       10000000           99-0       10000000
   25      912828M72           99-0       10000000           99-0       10000000
   26      912828M72           99-0       10000000           99-0       10000000
   27      912828M72           99-0       10000000           99-0       10000000
   28      912828M72           99-0       10000000           99-0       10000000
   29      912828M72           99-0       10000000           99-0       10000000
   30      912828M72           99-0       10000000           99-0       10000000
   31      912828M72           99-0       10000000           99-0       10000000
   32      912828M72           99-0       10000000           99-0       10000000
   33      912828M72           99-0       10000000           99-0       10000000
   34      912828M72           99-0       10000000           99-0       10000000
   35      912828M72           99-0       10000000           99-0       10000000
   36      912828M72           99-0       10000000           99-0       10000000
   37      912828M72           99-0       10000000           99-0       10000000
   38      912828M72           99-0       10000000           99-0       10000000
   39      912828M72           99-0       10000000           99-0       10000000
   40      912828M72           99-0       10000000           99-0       10000000
   41      912828M72           99-0       10000000           99-0       10000000
   42      912828M72           99-0       10000000           99-0       10000000
   43      912828M72           99-0       10000000           99-0       10000000
   44      912828M72           99-0       10000000           99-0       10000000
   45      912828M72           99-0       10000000           99-0       10000000
   46      912828M72           99-0       10000000           99-0       10000000
   47      912828M72           99-0       10000000           99-0       10000000
   48      912828M72           99-0       10000000           99-0       10000000
   49      912828M72           99-0       10000000           99-0       10000000
   50      912828M72           99-0       10000000           99-0       10000000
   51      912828M72           99-0       10000000           99-0       10000000
   52      912828M72           99-0       10000000           99-0       10000000
   53      912828M72           99-0       10000000           99-0       10000000
   54      912828M72           99-0       10000000           99-0       10000000
   55      912828M72           99-0       10000000           99-0       10000000
   56      912828M72           99-0       10000000           99-0       10000000
   57      912828M72           99-0       10000000           99-0       10000000
   58      912828M72           99-0       10000000           99-0       10000000
   59      912828M72           99-0       10000000           99-0       10000000
   60      912828M72           99-0       10000000           99-0       10000000
   61      912828M72           99-0       10000000           99-0       10000000
   62      912828M72           99-0       10000000           99-0       10000000
   63      912828M72           99-0       10000000           99-0       10000000
   64      912828M72           99-0       10000000           99-0       10000000
   65      912828M72           99-0       10000000           99-0       10000000
